date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:53	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:58:53%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-regular-400.woff	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-regular-400.woff	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:58:54	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:58:54%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-regular-400.ttf	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-regular-400.ttf	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:58:55	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:58:55%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-regular-400.svg	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-regular-400.svg	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:58:56	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:58:56%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.eot	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.eot	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:58:57	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:58:57%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.eot?	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900d41d.eot	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:58:58	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:58:58%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.woff2	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.woff2	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:58:59	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:58:59%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.woff	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.woff	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:59:00	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:59:00%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.ttf	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.ttf	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:59:01	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2014:59:01%20GMT	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.svg	themesdesign.in/jobcy-tailwind/layout/assets/fonts/la-solid-900.svg	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:59:04	1262012/1262012	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221341bc-6074691e9a20c%22	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/materialdesignicons-webfont.eot?v=7.1.96	themesdesign.in/jobcy-tailwind/layout/assets/fonts/materialdesignicons-webfont3ba9.eot	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
17:59:04	391688/391688	---M--	200	added ('OK')	font/woff2	etag:%225fa08-6074691ea2eac%22	https://themesdesign.in/jobcy-tailwind/layout/assets/fonts/materialdesignicons-webfont.woff2?v=7.1.96	themesdesign.in/jobcy-tailwind/layout/assets/fonts/materialdesignicons-webfont3ba9.woff2	(from https://themesdesign.in/jobcy-tailwind/layout/assets/css/icons.css)
